name;title;area;document;faculty;year;url;doi
"Benegra, Marjorie";"Desenvolvimento "in situ" de aluminetos de níquel por plasma por arco transferido...";"Engenharia Metalúrgica e de Materiais";"Tese de Doutorado";"Escola Politécnica";"2010";"http://www.teses.usp.br/teses/disponiveis/3/3133/tde-25102011-175019/?&lang=pt-br";"10.11606/T.3.2010.tde-25102011-175019"
"Chaves, Ana Paula Gonçalves";"Rodas ferroviárias: análise, microestrutura e propostas de melhoria";"Engenharia Metalúrgica e de Materiais";"Dissertação de Mestrado";"Escola Politécnica";"2016";"http://www.teses.usp.br/teses/disponiveis/3/3133/tde-02032017-144335/?&lang=pt-br";
"Farina, Alexandre Bellegard";"Efeito do teor de ferro e do tratamento térmico na microestrutura e propriedades...";"Engenharia Metalúrgica e de Materiais";"Tese de Doutorado";"Escola Politécnica";"2014";"http://www.teses.usp.br/teses/disponiveis/3/3133/tde-29122014-184030/?&lang=pt-br";"10.11606/T.3.2014.tde-29122014-184030"
"Farina, Alexandre Bellegard";"Avaliação da seqüência de transformações de fases do aço AISI 430 convencional";"Engenharia Metalúrgica e de Materiais";"Dissertação de Mestrado";"Escola Politécnica";"2010";"http://www.teses.usp.br/teses/disponiveis/3/3133/tde-13082010-162327/?&lang=pt-br";"10.11606/D.3.2010.tde-13082010-162327"
"Farina, Paula Fernanda da Silva";"Efeito das adições de tratamentos criogênicos e de alívio de tensões no ciclo térmico...";"Engenharia Metalúrgica e de Materiais";"Tese de Doutorado";"Escola Politécnica";"2011";"http://www.teses.usp.br/teses/disponiveis/3/3133/tde-20072011-092100/?&lang=pt-br";"10.11606/T.3.2011.tde-20072011-092100"
"Gonzalez Ramírez, Mario Fernando";"Estudo da transformação durante o resfriamento continuo e da microestrutura do aço...";"Engenharia Metalúrgica e de Materiais";"Dissertação de Mestrado";"Escola Politécnica";"2008";"http://www.teses.usp.br/teses/disponiveis/3/3133/tde-10112008-112546/?&lang=pt-br";"10.11606/D.3.2008.tde-10112008-112546"
"Huallpa, Edgar Apaza";"Emissão magnética espontânea (SME) na transformação martensítica";"Engenharia Metalúrgica e de Materiais";"Tese de Doutorado";"Escola Politécnica";"2016";"http://www.teses.usp.br/teses/disponiveis/3/3133/tde-08122016-084445/?&lang=pt-br";
"Huallpa, Edgar Apaza";"Caracterização da transformação martensítica em temperaturas criogênicas";"Engenharia Metalúrgica e de Materiais";"Dissertação de Mestrado";"Escola Politécnica";"2011";"http://www.teses.usp.br/teses/disponiveis/3/3133/tde-25032011-105937/?&lang=pt-br";"10.11606/D.3.2011.tde-25032011-105937"
"Marcomini, José Benedito";"Caracterização da nova liga Fe-C-Mn-Si-Cr: fragilização da martensita revenida e...";"Engenharia Metalúrgica e de Materiais";"Tese de Doutorado";"Escola Politécnica";"2012";"http://www.teses.usp.br/teses/disponiveis/3/3133/tde-10052012-120328/?&lang=pt-br";"10.11606/T.3.2012.tde-10052012-120328"
"Matsumoto, Marcos Machado";"Estudo sobre a resistência à ciclagem térmica dos ferros fundidos de alto cromo e...";"Engenharia Metalúrgica e de Materiais";"Dissertação de Mestrado";"Escola Politécnica";"2011";"http://www.teses.usp.br/teses/disponiveis/3/3133/tde-20032012-110351/?&lang=pt-br";"10.11606/D.3.2011.tde-20032012-110351"
"Molisani, André Luiz";"Sinterização e caracterização de propriedades mecânicas de cerâmicas de nitreto de...";"Engenharia Metalúrgica e de Materiais";"Tese de Doutorado";"Escola Politécnica";"2009";"http://www.teses.usp.br/teses/disponiveis/3/3133/tde-01072009-151135/?&lang=pt-br";"10.11606/T.3.2009.tde-01072009-151135"
"Molisani, André Luiz";"Sinterização de nitreto de alumínio com compostos contendo cálcio";"Engenharia Metalúrgica e de Materiais";"Dissertação de Mestrado";"Escola Politécnica";"2004";"http://www.teses.usp.br/teses/disponiveis/3/3133/tde-13122004-070911/?&lang=pt-br";"10.11606/D.3.2004.tde-13122004-070911"
"Monlevade, Eduardo Franco de";"Estudo das transições morfológicas na decomposição da austenita utilizando um par...";"Engenharia Metalúrgica e de Materiais";"Tese de Doutorado";"Escola Politécnica";"2012";"http://www.teses.usp.br/teses/disponiveis/3/3133/tde-26072013-142354/?&lang=pt-br";"10.11606/T.3.2012.tde-26072013-142354"
"Ogata, Paulo Henrique";"Compósitos ferro-grafita para componentes de motores com propriedades tribológicas...";"Engenharia Metalúrgica e de Materiais";"Tese de Doutorado";"Escola Politécnica";"2014";"http://www.teses.usp.br/teses/disponiveis/3/3133/tde-16112015-155422/?&lang=pt-br";"10.11606/T.3.2014.tde-16112015-155422"
"Ogata, Paulo Henrique";"Caracterização microestrutural do aço para tubo API 5L-X65 em diferentes regiões...";"Engenharia Metalúrgica e de Materiais";"Dissertação de Mestrado";"Escola Politécnica";"2009";"http://www.teses.usp.br/teses/disponiveis/3/3133/tde-22102009-180225/?&lang=pt-br";"10.11606/D.3.2009.tde-22102009-180225"
"Pereira, Viviam Serra Marques";"Efeito de características microestruturais na difusividade do hidrogênio em dois...";"Engenharia Metalúrgica e de Materiais";"Dissertação de Mestrado";"Escola Politécnica";"2017";"http://www.teses.usp.br/teses/disponiveis/3/3133/tde-23062017-163732/?&lang=pt-br";
"Ramirez, Mario Fernando Gonzalez";"Influência da microestrutura nas propriedades mecânicas e na fragilização por hidrogênio...";"Engenharia Metalúrgica e de Materiais";"Tese de Doutorado";"Escola Politécnica";"2012";"http://www.teses.usp.br/teses/disponiveis/3/3133/tde-19072013-170730/?&lang=pt-br";"10.11606/T.3.2012.tde-19072013-170730"
"Ramos, Diego da Rocha";"Investigação de novas rotas de tratamento térmico em aço para rolamento";"Engenharia Metalúrgica e de Materiais";"Dissertação de Mestrado";"Escola Politécnica";"2010";"http://www.teses.usp.br/teses/disponiveis/3/3133/tde-06122010-104555/?&lang=pt-br";"10.11606/D.3.2010.tde-06122010-104555"
"Santos Filho, Dinecio dos";"Alterações metalúrgicas e topográficas do cilindro de bloco de motor de combustão...";"Engenharia Metalúrgica e de Materiais";"Dissertação de Mestrado";"Escola Politécnica";"2013";"http://www.teses.usp.br/teses/disponiveis/3/3133/tde-09022015-163026/?&lang=pt-br";"10.11606/D.3.2013.tde-09022015-163026"
"Sayeg, Isaac Jamil";"Caracterização microestrutural da decomposição de carbonetos eutéticos M2C em ferro...";"Engenharia Metalúrgica e de Materiais";"Tese de Doutorado";"Escola Politécnica";"2010";"http://www.teses.usp.br/teses/disponiveis/3/3133/tde-10012011-112231/?&lang=pt-br";"10.11606/T.3.2010.tde-10012011-112231"
"Serantoni, Claudia Regina";"Nucleação e crescimento do eutético austenita/VC em ligas do sistema Fe-V-C";"Engenharia Metalúrgica e de Materiais";"Tese de Doutorado";"Escola Politécnica";"2008";"http://www.teses.usp.br/teses/disponiveis/3/3133/tde-13052009-084348/?&lang=pt-br";"10.11606/T.3.2008.tde-13052009-084348"
"Serbino, Edison Marcelo";"Um estudo dos mecanismos de desgaste em disco de freio automotivo ventilado de ferro...";"Engenharia Metalúrgica e de Materiais";"Dissertação de Mestrado";"Escola Politécnica";"2005";"http://www.teses.usp.br/teses/disponiveis/3/3133/tde-12052005-093850/?&lang=pt-br";"10.11606/D.3.2005.tde-12052005-093850"
"Silva, Anderson José Saretta Tomaz da";"Têmpera e partição em ferros fundidos nodulares";"Engenharia Metalúrgica e de Materiais";"Dissertação de Mestrado";"Escola Politécnica";"2013";"http://www.teses.usp.br/teses/disponiveis/3/3133/tde-10072014-152701/?&lang=pt-br";"10.11606/D.3.2013.tde-10072014-152701"
"Silva, Wanderson Santana da";"Avaliação do comportamento mecânico e tribológico de ligas Ni-Cr-Al-C";"Engenharia Metalúrgica e de Materiais";"Tese de Doutorado";"Escola Politécnica";"2006";"http://www.teses.usp.br/teses/disponiveis/3/3133/tde-20042007-173509/?&lang=pt-br";"10.11606/T.3.2006.tde-20042007-173509"
"Silva, Wanderson Santana da";"Estudo da tenacidade à fratura do aço rápido M2 fundido, modificado e tratado te...";"Engenharia Metalúrgica e de Materiais";"Dissertação de Mestrado";"Escola Politécnica";"2001";"http://www.teses.usp.br/teses/disponiveis/3/3133/tde-21072006-102226/?&lang=pt-br";"10.11606/D.3.2001.tde-21072006-102226"
"Slaughter, Christian";"Espada de Damasco: um produto da civilização islâmica";"Engenharia Metalúrgica e de Materiais";"Dissertação de Mestrado";"Escola Politécnica";"2014";"http://www.teses.usp.br/teses/disponiveis/3/3133/tde-29122014-181051/?&lang=pt-br";"10.11606/D.3.2014.tde-29122014-181051"
