index;author;title
1;"Souza, Joelmir Mariano de";"Estudo do ensaio de determinação da tenacidade à fratura em deformação plana (KIc) em PMMA e análise das tensões desenvolvidas por fotoelasticidade."
2;"Cristo, Sidinei Colodeti";"Modelagem matemática da condução de calor transiente e quase-estacionária no processo de refusão por eletroescória."
3;"Takahashi, Vivian Cristina Inacio";"Reciclagem de baterias de íon de Li: condicionamento físico e extração do Co."
4;"Campana, Rodrigo Camargo";"Parâmetros de processo, microestrutura e textura das ligas de aluminio AA6063 e AA6082 extrudadas."
5;"Santos, Alessandra Fernandes";"Avaliação do comportamento mecânico de um adesivo estrutural epóxi utilizado na indústria automobilística."
6;"Molisani, André Luiz";"Sinterização e caracterização de propriedades mecânicas de cerâmicas de nitreto de alumínio."
7;"Almeida, Leandro de";"Estudo comparativo da estampabilidade do latão UNS C22000 produzido inicialmente pelo processo de fundição contínua em comparação a fundição semicontínua."
8;"Pisano, Caio de Paula Camargo";"Caracterização e comparação dos procedimentos de obtenção da curva limite de conformação e das características de estampagem dos aços inoxidáveis DIN 1.4509 e AISI 321."
9;"Albanez, Nelma Elisa Farias Kunrath";"Preparação e caracterização de nanocompósitos preparados com argilas esmectitas (bentonita), amido e sacarose."
10;"Kurusu, Rafael Salles";"Efeito do tempo e do recozimento nas propriedades mecânicas e de biodegradação de materiais baseados em poli(3-hidroxibutirato) (PHB)."
11;"Lopes, André Sereno";"Aspectos da melhoria da estampabilidade de chapas de aço baixo teor de carbono."
12;"Nagayassu, Vanessa Yumi";"Análise crítica do ensaio NACE TM-0172 para verificação da agressividade de derivados de petróleo."
13;"Pillihuaman Zambrano, Adolfo";"Auto-redução e fusão redução de pelotas auto-redutoras de cromita."
14;"Zimmermann, Angelo José de Oliveira";"Encruamento e recristalização dos aços inoxidáveis EUROFER e ODS-EUROFER para aplicação em reatores de fusão nuclear."
15;"Ramírez Londoño, Antonio José";"Precipitação de fases intermetálicas e austenita secundária na ZAC de soldagens multipasse de aços inoxidáveis duplex."
16;"Moreira, Hamilton Soares";"Estudo da influência dos parâmetros de soldagem MIG e da morfologia do cordão no comportamento à fadiga de juntas soldadas de um eixo traseiro veicular."
17;"Andrade, Thiago Fontoura de";"Propriedades tribológicas do PEEK em ambiente lubrificado com óleo."
18;"Chaves, Ana Paula Gonçalves";"Rodas ferroviárias: análise, microestrutura e propostas de melhoria."
19;"Castro, Nicolau Apoena";"Controle da textura e da microestrutura durante o processo de fabricação de aços elétricos semiprocessados."
20;"Calderón Hernández, José Wilmar";"Efeito da temperatura de solubilização e da concentração de íons cloreto e sulfato sobre a resistência à corrosão por Pite dos aços inoxidáveis austeníticos 17Cr-6Mn-5Ni e UNS S30403."
21;"Guimarães, Thiago Ribeiro";"Nanocompósitos de elastômero SBR e argilas organofílicas."
22;"Pereira, Kleberson Ricardo de Oliveira";"Estudo, em escala de laboratório, do uso de argilas do tipo bofe na obtenção de argilas organofílicas e ativadas."
23;"Silvério, Valdir Anderson";"Estudo da evolução do tamanho de grão na laminação a quente de barras de aço médio carbono microligado ao vanádio - 38MnSiV5."
24;"Rodrigues Junior, Daniel Luiz";"Efeito do tamanho de grão e da indução magnética sobre o campo coercivo e dissipação de energia por histereses em aços para fins elétricos"
25;"Poetscher, Freddy";"Efeito do número de passes e do tratamento térmico pós-soldagem de liga de alumínio AA 6063 soldada por atrito linear com mistura (FSW)."
26;"Franco Júnior, Adonias Ribeiro";"Obtenção de revestimentos dúplex por nitretação a plasma e PVD-TiN em aços ferramenta AISI D2 e AISI H13."
27;"Souza, Marcos Rogério de";"Blenda de poli (tereftalato de etileno) com polietileno de baixa densidade."
28;"Angelo, Clayton Mamedes";"Fadiga de amplitude variável como parâmetro de projeto para eixos traseiros automotivos: uma análise do efeito das sobrecargas e da filtragem matemática na predição de vida em fadiga."
29;"Aguiar, Denilson José Marcolino de";"Estudo da formação e reversão de martensita induzida por deformação na austenita de dois aços inoxidáveis dúplex."
30;"Arrivabene, Lúcio Flávio";"Adição de resíduo da indústria de granito em escória de aciaria BOF visando sua utilização na produção de cimento."
31;"Batista, Márcio";"Estudo comparativo da soldabilidade de chapas para indústria automotiva utilizando dois equipamentos de soldagem a ponto por resistência."
32;"Serna Giraldo, Claudia Patricia";"Precipitação de fases intermetálicas na Zona Afetada pelo Calor de Temperatura Baixa (ZACTB) na soldagem multipasse de aços inoxidáveis duplex."
33;"Nagasima, Thiago Pires";"Refino de grão de ligas do sistema cobre-zinco."
34;"Biscuola, Vinicius Bertolazzi";"Modelo matemático híbrido determinístico-estocástico para a previsão da macroestrutura de grãos bruta de solidificação."
35;"Silva, Wagner Claudio da";"Argila organofílica como agente microbiano para tintas."
36;"Sakahara, Rogério Massanori";"Estudo da formação da fase cristalina beta nos compósitos de polipropileno contendo anidrido maléico e carbono de cálcio."
37;"Tsiloufas, Stergios Pericles";"Estudo da fratura dúctil em chapas de aço médio carbono sob a ótica da teoria da mecânica do dano."
38;"Marques Sobrinho, Vicente de Paulo Ferreira";"Adição de poeira de aciaria elétrica em ferro gusa líquido."
39;"Machado, Messias dos Santos";"Nanocompósito de poliestireno reciclado, bentonita sódica e hemi-hidrato de sulfato de cálcio: obtenção e caracterização."
40;"Bartolomei, Suellen Signer";"Estudo de nanocompósitos formados por PLA e nanopartículas de celulose."
41;"Pillihuaman Zambrano, Adolfo";"Estudo da redução de pelotas auto-redutoras de cromita."
42;"Fernandes, Laércio Lima";"Obtenção da blenda polipropileno reprocessado/poliestireno de alto impacto e seu comportamento diante a radiação UV."
43;"Rodrigues, José Carlos";"Síntese e caracterização de macromoléculas do tipo Poli(Ácido carboxílico)-Poli(Eter-poliol) com propriedades termoplásticas e termorrígidas e avaliação de propriedades mecânicas cerâmicos à base de caulim."
44;"Conceição, Edilene de Souza";"Influência da distribuição granulométrica no empacotamento de matérias-primas na formulação de porcelânicos."
45;"Ferro, Daniel Augusto";"Caracterização e estampabilidade de um aço SAE 1080 fosfatizado."
46;"Cardoso, Guilherme Huaskar Wittée";"Obtenção de carvão de resíduos sólidos orgânicos alimentares."
47;"Quispe Avilés, Janeth Marlene";"Investigação da relação entre a suscetibilidade ao trincamento induzido pelo hidrogênio (HIC) e parâmetros de resistência à corrosão de tubos de aços ARBL graus API 5L X65 e X80."
48;"Andrade, Roberto Silva de";"Efeito da basicidade e do teor de MgO no inchamento de pelotas de minério de ferro."
49;"Passagem, Fernando Cesar Loss";"Análise crítica do ensaio de determinação da curva mestre (ASTM E 1921) aplicado a um aço da classe API 5L X80."
50;"Minatel, Rogério";"Um estudo comparativo sobre a recristalização de chapas de alumínio AA1200 e AA3003 obtidas por lingotamento contínuo (twin roll caster) e por fundição de placas (direct chill)."
